release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release,log_price
1997-06-01,Air Jordan,Air Jordan 12 OG 'Flu Game' 1997,men,3,Black,Unknown,Air,39,0,214.0,10198,5.365976015021851
1997-11-01,Air Jordan,Air Jordan 13 OG 'He Got Game' 1997,men,4,White,Leather,Zoom Air,39,0,677.0,10045,6.517671272912275
1997-12-31,Air Jordan,Air Jordan 13 OG 'Bred' 1998,men,3,Black,Mesh,Zoom Air,39,0,1005.0,9985,6.912742820493176
1997-01-01,Nike,Air Foamposite One OG 'Royal' 1997,men,5,Blue,Foamposite,Air,39,0,746.0,10349,6.61472560020376
1997-01-01,Air Jordan,Air Jordan 13 OG 'Playoffs' 1997,men,4,Black,Textile,Zoom Air,39,0,530.0,10349,6.272877006546167
1997-01-01,Nike,Air Foamposite Pro OG 'Pearl' 1997,men,4,White,Foamposite,Air,39,0,1305.0,10349,7.173958319756794
1997-02-01,Air Jordan,Air Jordan 12 OG 'Obsidian',men,2,Blue,Unknown,Air,39,1,422.0,10318,6.045005314036012
1997-01-01,Nike,Air Max 97 OG 'Silver Bullet' 1997,men,6,Silver,Unknown,Air,39,0,420.0,10349,6.040254711277414
1997-01-01,Nike,Air Zoom Spiridon OG 'Silver Red' 1997,men,5,Silver,Mesh,Zoom Air,39,0,1067.0,10349,6.9726062513017535
1997-01-01,Nike,Air Metal Force 'Black White',men,2,Black,Leather,Air,39,0,384.0,10349,5.950642552587727
1998-01-01,Air Jordan,Air Jordan 13 OG 'Cherry' 1998,men,6,White,Leather,Zoom Air,39,0,472.0,9984,6.156978985585555
1998-10-31,Air Jordan,Air Jordan 14 OG 'Black Toe' 1998,men,4,White,Leather,Zoom Air,39,0,809.0,9681,6.695798917058491
1998-02-13,Air Jordan,Air Jordan 13 OG 'Flint' 1998,men,6,Blue,Mesh,Zoom Air,39,0,538.0,9941,6.2878585601617845
1998-07-01,Air Jordan,Air Jordan 13 OG Low 'Brave Blue' 1998,men,6,Blue,Mesh,Zoom Air,39,0,309.0,9803,5.733341276897746
1998-06-01,Air Jordan,Air Jordan 13 OG Low 'Chutney' 1998,men,2,Black,Suede,Zoom Air,39,1,446.0,9833,6.100318952020064
1998-01-01,Nike,Air Terra Triax 'Pacific Blue',men,6,Blue,Mesh,Air,39,0,262.0,9984,5.568344503761097
1999-05-05,Air Jordan,Air Jordan 4 Retro 'Bred' 1999,men,3,Black,Nubuck,Air,39,0,351.0,9495,5.860786223465865
1999-11-01,Air Jordan,Air Jordan 4 Retro+ 'Oreo' 1999,men,4,Black,Leather,Air,39,0,1985.0,9315,7.59337419312129
1999-06-02,Air Jordan,Air Jordan 4 Retro 'White Cement' 1999,men,2,White,Leather,Air,39,0,613.0,9467,6.418364935936212
1999-09-01,Air Jordan,Air Jordan 4 Retro+ 'Columbia' 1999,men,5,White,Leather,Air,39,0,495.0,9376,6.20455776256869
1999-08-04,Air Jordan,Air Jordan 14 OG Low 'Columbia',men,4,White,Leather,Zoom Air,39,0,5147.0,9404,8.546169299652755
1999-12-11,Air Jordan,Air Jordan 15 OG 'Stealth' 1999,men,3,Black,Leather,Zoom Air,39,0,454.0,9275,6.118097198041348
1999-03-27,Air Jordan,Air Jordan 14 OG 'Last Shot' 1999,men,4,Black,Leather,Zoom Air,39,0,992.0,9534,6.899723107284872
1999-06-23,Air Jordan,Air Jordan 14 OG Low 'Laney' 1999,men,4,Blue,Suede,Zoom Air,39,0,106.0,9446,4.663439094112067
1999-01-09,Air Jordan,Air Jordan 14 OG 'Candy Cane' 1999,men,4,White,Leather,Zoom Air,39,0,884.0,9611,6.784457062637643
1999-09-15,Air Jordan,Air Jordan 14 OG Low 'Ginger',men,4,Yellow,Suede,Zoom Air,39,0,4781.0,9362,8.472405008626103
1999-01-01,Nike,Dunk Low Pro B 'Putty',men,4,Grey,Unknown,Basic,39,0,5252.0,9619,8.566364235422688
1999-02-13,Air Jordan,Air Jordan 14 OG 'Indiglo' 1999,men,4,Black,Leather,Zoom Air,39,0,571.0,9576,6.3473892096560105
1999-02-13,Air Jordan,Air Jordan 14 OG 'Oxidized Green' 1999,men,4,White,Leather,Zoom Air,39,0,1050.0,9576,6.956545443151569
1999-01-01,Nike,Air Foamposite Pro 'Voltage',men,3,Black,Foamposite,Air,39,0,1442.0,9619,7.273786317844895
1999-01-01,Nike,Dunk Low 'Atmos',men,4,Blue,Unknown,Basic,39,0,729.0,9619,6.591673732008658
1999-01-01,Nike,Dunk Low CO.JP 'Reverse Curry' 1999,men,3,Brown,Leather,Basic,39,0,887.0,9619,6.787844982309579
2000-03-15,Air Jordan,Air Jordan 5 Retro 'Black Metallic' 2000,men,4,Black,Nubuck,Air,39,0,678.0,9180,6.519147287940395
2000-05-10,Air Jordan,Air Jordan 5 Retro+ 'Laney' 2000,men,4,White,Unknown,Air,39,0,305.0,9124,5.720311776607412
2000-07-01,Air Jordan,Air Jordan 5 Retro+ 'White Metallic' 2000,men,4,White,Leather,Air,39,0,613.0,9072,6.418364935936212
2000-04-29,Air Jordan,Air Jordan 4 Retro+ 'Bling' 2000,men,3,White,Leather,Air,39,0,809.0,9135,6.695798917058491
2000-01-01,Air Jordan,Air Jordan 5 Retro 'White Fire Red' 2000,men,3,White,Leather,Air,39,0,629.0,9254,6.444131256700441
2000-12-13,Air Jordan,Air Jordan 11 Retro 'Space Jam' 2000,men,3,Black,Unknown,Air,39,0,364.0,8907,5.8971538676367405
2000-04-01,Air Jordan,Air Jordan 15 OG 'Flint Grey',men,3,Grey,Leather,Zoom Air,39,0,806.0,9163,6.692083742506628
2000-08-23,Air Jordan,Air Jordan 6 Retro+ 'Infrared' 2000,men,3,Black,Nubuck,Air,39,0,351.0,9019,5.860786223465865
2000-10-25,Air Jordan,Air Jordan 11 Retro 'Concord' 2000,men,3,White,Unknown,Air,39,0,351.0,8956,5.860786223465865
2000-01-01,Air Jordan,Air Jordan 15 OG 'Midnight Navy',men,3,White,Textile,Zoom Air,39,0,523.0,9254,6.259581464064923
2000-02-05,Air Jordan,Air Jordan 15 OG 'Columbia',men,4,White,Textile,Zoom Air,39,0,5686.0,9219,8.645762292210945
2000-10-04,Air Jordan,Air Jordan 6 Retro 'Midnight Navy' 2000,men,3,White,Leather,Air,39,0,417.0,8977,6.0330862217988015
2000-01-01,Nike,Air Max Penny,men,3,Black,Unknown,Air,39,0,325.0,9254,5.783825182329737
2000-09-15,Air Jordan,Air Jordan 6 Retro+ 'Olympic' 2000,men,4,White,Leather,Air,39,0,547.0,8996,6.304448802421981
2000-01-01,Air Jordan,Air Jordan 15 OG Low 'Deep Red',men,3,White,Leather,Zoom Air,39,0,6558.0,9254,8.788440957404594
2000-01-01,Air Jordan,Air Jordan 15 OG Low 'Midnight Navy',men,3,White,Textile,Zoom Air,39,0,268.0,9254,5.5909869805108565
