url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/air-jordan-1-high-1985-4280,1985-09-14,Air Jordan,Air Jordan 1 High 'Chicago' 1985,men,3,Red,Leather,Air,39,0,50990.0,14476
https://www.goat.com/sneakers/air-jordan-1-high-1985-4281,1985-09-14,Air Jordan,Air Jordan 1 High 'Bred' 1985,men,2,Black,Leather,Air,39,0,31398.0,14476
https://www.goat.com/sneakers/air-jordan-1-851101ty,1985-09-14,Air Jordan,Air Jordan 1 High 'Royal' 1985,men,3,Black,Leather,Air,39,0,2642.0,14476
https://www.goat.com/sneakers/air-jordan-1-high-og-4295,1985-09-14,Air Jordan,Air Jordan 1 High 'Natural Grey' 1985,men,3,White,Leather,Air,39,0,2632.0,14476
https://www.goat.com/sneakers/air-jordan-1-high-og-unc-1985-850810unc,1985-09-14,Air Jordan,Air Jordan 1 High 'UNC' 1985,men,4,Blue,Leather,Air,39,0,,14476
https://www.goat.com/sneakers/air-jordan-1-high-shadow-1985-aj1-1985-shadow,1985-09-14,Air Jordan,Air Jordan 1 High 'Shadow' 1985,men,3,Grey,Leather,Air,39,0,,14476
https://www.goat.com/sneakers/air-jordan-1-high-og-white-black-1985-4287,1985-10-01,Air Jordan,Air Jordan 1 High 'Metallic Black' 1985,men,2,White,,Air,39,0,,14459
https://www.goat.com/sneakers/air-jordan-1-high-og-black-toe-1985-451012st,1985-01-01,Air Jordan,Air Jordan 1 High OG 'Black Toe' 1985,men,4,Black,Leather,Air,39,0,9705.0,14732
https://www.goat.com/sneakers/dunk-high-villanova-1985-4910,1985-01-01,Nike,Dunk High 'Villanova' 1985,men,3,Blue,Leather,,39,0,1327.0,14732
https://www.goat.com/sneakers/dunk-high-iowa-1985-851012-ty1,1985-06-01,Nike,Dunk High 'Iowa' 1985,men,0,Yellow,,,39,0,,14581
https://www.goat.com/sneakers/dunk-high-michigan-1985-4914,1985-01-01,Nike,Dunk High 'Michigan' 1985,men,3,Yellow,Leather,,39,0,,14732
https://www.goat.com/sneakers/dunk-high-st-john-s-1985-4911,1985-01-01,Nike,Dunk High 'St. John's' 1985,men,2,Red,Leather,,39,0,,14732
https://www.goat.com/sneakers/dunk-high-kentucky-1985-4913,1985-01-01,Nike,Dunk High 'Kentucky' 1985,men,3,Blue,Leather,,39,0,,14732
https://www.goat.com/sneakers/dunk-high-syracuse-1985-4912,1985-01-01,Nike,Dunk High 'Syracuse' 1985,men,2,Orange,Leather,,39,0,,14732
https://www.goat.com/sneakers/dunk-high-unlv-1985-4916,1985-01-01,Nike,Dunk High 'UNLV' 1985,men,3,Red,Leather,,39,0,1658.0,14732
https://www.goat.com/sneakers/air-jordan-1-high-metallic-green-1985-aj1-1985-metallic-grn,1985-10-01,Air Jordan,Air Jordan 1 High 'Metallic Green' 1985,men,3,White,Leather,Air,39,0,,14459
https://www.goat.com/sneakers/air-jordan-1-high-metallic-orange-1985-aj1-1985-metallic-org,1985-10-01,Air Jordan,Air Jordan 1 High 'Metallic Orange' 1985,men,3,White,Leather,Air,39,0,,14459
https://www.goat.com/sneakers/air-jordan-1-high-white-black-1985-4298,1985-09-01,Air Jordan,Air Jordan 1 High 'White Black' 1985,men,2,Black,Leather,Air,39,0,,14489
https://www.goat.com/sneakers/air-jordan-1-high-dark-royal-blue-1985-4296,1985-09-01,Air Jordan,Air Jordan 1 High 'Dark Royal Blue' 1985,men,4,Blue,Leather,Air,39,0,,14489
https://www.goat.com/sneakers/air-jordan-1-high-metallic-purple-1985-aj1-1985-metallic-pur,1985-10-01,Air Jordan,Air Jordan 1 High 'Metallic Purple' 1985,men,3,White,Leather,Air,39,0,,14459
https://www.goat.com/sneakers/tokio-white-black-tokio-wht-blk-85,1985-01-01,Nike,Tokio 'White Black',men,2,White,Canvas,,39,0,,14732
https://www.goat.com/sneakers/air-jordan-1-high-shadow-1985-4283,1985-09-01,Air Jordan,Air Jordan 1 High 'Shadow' 1985,men,3,Grey,Leather,Air,39,0,,14489
https://www.goat.com/sneakers/air-jordan-1-high-metallic-red-1985-aj1-1985-metallic-red,1985-10-01,Air Jordan,Air Jordan 1 High 'Metallic Red' 1985,men,3,White,Leather,Air,39,0,,14459
https://www.goat.com/sneakers/aloha-black-red-aloha-85-blk-red,1985-01-01,Nike,Aloha 'Black Red',men,2,Black,Suede,,39,0,,14732
https://www.goat.com/sneakers/air-jordan-2-og-chicago-1986-4360,1986-01-01,Air Jordan,Air Jordan 2 OG 'Chicago' 1986,men,4,White,Leather,Air,39,0,,14367
https://www.goat.com/sneakers/air-max-1-obsidian-1987-am1obsidian87,1986-03-26,Nike,Air Max 1 'Obsidian' 1987,men,6,Blue,Mesh,Air,39,0,,14283
https://www.goat.com/sneakers/air-jordan-2-low-og-white-red-1986-4116,1986-01-02,Air Jordan,Air Jordan 2 Low OG 'White Red' 1986,men,2,White,Leather,Air,39,0,,14366
https://www.goat.com/sneakers/air-jordan-2-low-og-chicago-1986-4115,1986-01-01,Air Jordan,Air Jordan 2 Low OG 'Chicago' 1986,men,2,White,Leather,Air,39,0,,14367
https://www.goat.com/sneakers/team-convention-high-white-red-9851101by,1986-01-01,Nike,Team Convention High 'White Red',men,2,Red,Leather,,39,0,2268.0,14367
https://www.goat.com/sneakers/p740-worthy-express-p740worthy,1986-01-01,New Balance,P740 'Worthy Express',men,2,White,Leather,,34,0,,14367
