url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/wmns-free-metcon-6-white-metallic-silver-black-hq3510-100,2024-10-20,Nike,Wmns Free Metcon 6 'White Metallic Silver Black',women,7,White,Mesh,Free,38,0,112.0,197
https://www.goat.com/sneakers/wmns-tanjun-easyon-violet-mist-white-dv7786-500,2024-04-14,Nike,Wmns Tanjun EasyOn 'Violet Mist White',women,6,Purple,Mesh,,38,0,2866.0,386
https://www.goat.com/sneakers/wmns-court-vision-low-next-nature-elemental-pink-dh3158-603,2024-12-20,Nike,Wmns Court Vision Low Next Nature 'Elemental Pink',women,3,Pink,Leather,,38,0,90.0,136
https://www.goat.com/sneakers/wmns-sambae-cream-white-leopard-ji4226,2024-06-01,adidas,Wmns Sambae 'Cream White Leopard',women,6,Cream,Suede,,26,0,209.0,338
https://www.goat.com/sneakers/wmns-court-vision-low-valentine-s-day-2024-fq7628-100,2024-01-29,Nike,Wmns Court Vision Low 'Valentine's Day 2024',women,6,White,Suede,,38,0,110.0,462
https://www.goat.com/sneakers/wmns-air-jordan-4-retro-orchid-aq9129-501,2024-10-26,Air Jordan,Wmns Air Jordan 4 Retro 'Orchid',women,5,Purple,Suede,Air,15,0,364.0,191
https://www.goat.com/sneakers/wmns-cloudsurfer-white-flame-3we30050256,2024-07-26,ON,Wmns Cloudsurfer 'White Flame',women,2,White,Mesh,CloudTec Phase,23,0,174.0,283
https://www.goat.com/sneakers/wmns-ultra-flow-black-rose-violet-l47450900,2024-02-13,Salomon,Wmns Ultra Flow 'Black Rose Violet',women,5,Black,Textile,Energy Foam,23,0,1079.0,447
https://www.goat.com/sneakers/wmns-nfx-chalk-laser-pink-100202117,2024-01-29,Reebok,Wmns NFX 'Chalk Laser Pink',women,5,White,Mesh,EVA,22,0,261.0,462
https://www.goat.com/sneakers/wmns-kaptir-flow-white-hazy-orange-ig1689,2024-02-29,adidas,Wmns Kaptir Flow 'White Hazy Orange',women,6,White,Mesh,Bounce,26,0,70.0,431
https://www.goat.com/sneakers/wmns-summervent-24-bounce-golf-white-aluminium-if0240,2024-02-04,adidas,Wmns Summervent 24 Bounce Golf 'White Aluminium',women,5,White,Mesh,Bounce,26,0,178.0,456
https://www.goat.com/sneakers/wmns-suede-xl-thick-n-thin-398325-01,2024-05-13,Puma,Wmns Suede XL 'Thick N Thin',women,4,Blue,Suede,,24,0,105.0,357
https://www.goat.com/sneakers/wmns-versair-platinum-violet-dz3547-003,2024-01-11,Nike,Wmns Versair 'Platinum Violet',women,8,Purple,Chenille,Zoom Air,38,0,93.0,480
https://www.goat.com/sneakers/wmns-air-zoom-vomero-5-photon-dust-pink-foam-hf1877-001,2024-08-01,Nike,Wmns Air Zoom Vomero 5 'Photon Dust Pink Foam',women,9,Silver,Mesh,Zoom Air,38,0,146.0,277
https://www.goat.com/sneakers/wmns-574-orb-pink-grey-matter-wl574qe2,2024-01-01,New Balance,Wmns 574 'Orb Pink Grey Matter',women,4,Pink,Suede,ENCAP,24,0,110.0,490
https://www.goat.com/sneakers/wmns-summit-trek-white-metallic-silver-3028346-100,2024-02-19,Under Armour,Wmns Summit Trek 'White Metallic Silver',women,3,White,Mesh,,18,0,264.0,441
https://www.goat.com/sneakers/wmns-samba-og-preloved-red-leopard-ji2734,2025-01-30,adidas,Wmns Samba OG 'Cheetah Pack - Preloved Red',women,6,Brown,Fur,,26,0,154.0,95
https://www.goat.com/sneakers/wmns-lowmel-love-25-pack-1172170-jnt,2025-01-16,UGG,Wmns Lowmel 'Love '25 Pack',women,3,Cream,Suede,EVA,8,0,174.0,109
https://www.goat.com/sneakers/wmns-air-jordan-4-retro-seafoam-hv0823-003,2025-03-08,Air Jordan,Wmns Air Jordan 4 Retro 'Abundance / Seafoam',women,4,Green,Nubuck,Air,15,0,154.0,58
https://www.goat.com/sneakers/wmns-skyflow-starlight-glow-carnation-1155113-slwc,2025-03-13,HOKA,Wmns Skyflow 'Starlight Glow Carnation',women,3,Pink,Jacquard,EVA,23,0,218.0,53
https://www.goat.com/sneakers/wmns-court-vision-low-lace-hj5846-100,2025-04-13,Nike,Wmns Court Vision Low 'Lace',women,3,White,Textile,,38,0,118.0,22
https://www.goat.com/sneakers/wmns-al8-wolf-grey-midnight-navy-fj3794-004,2025-03-23,Nike,Wmns AL8 'Wolf Grey Midnight Navy',women,7,Grey,Mesh,,38,0,151.0,43
https://www.goat.com/sneakers/wmns-adilette-22-xlg-slide-pink-spark-if9492,2025-02-01,adidas,Wmns Adilette 22 XLG Slide 'Pink Spark',women,6,Pink,Synthetic,EVA,26,0,107.0,93
https://www.goat.com/sneakers/wmns-run-star-trainer-retro-sport-obsidian-a10621c,2025-01-05,Converse,Wmns Run Star Trainer 'Retro Sport - Obsidian',women,4,Blue,Suede,,25,0,127.0,120
